adsh	tag	version	ddate	qtrs	uom	dimh	iprx	value	footnote	footlen	dimn	coreg	durp	datp	dcml
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20171231	4	USD	0xf65a2df63990e798dd6a16d5918d756a	0	2756947000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20171231	4	USD	0x5131082f461ff6e9ce08f9e48d461fd5	0	3440870000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20181231	4	USD	0x00000000	0	7573300000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20181231	4	USD	0x9b2e4847a783f42616c1138d6385c869	0	41212000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20181231	4	USD	0xf65a2df63990e798dd6a16d5918d756a	0	3115170000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	CostofServicesAmortizationofContentAssets	0001065280-19-000043	20181231	4	USD	0x5131082f461ff6e9ce08f9e48d461fd5	0	4416918000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	EffectiveIncomeTaxReconciliationChangeinTaxReserves	0001065280-19-000043	20161231	4	USD	0x00000000	0	28000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	EffectiveIncomeTaxReconciliationChangeinTaxReserves	0001065280-19-000043	20171231	4	USD	0x00000000	0	28000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	EffectiveIncomeTaxReconciliationChangeinTaxReserves	0001065280-19-000043	20181231	4	USD	0x00000000	0	14377000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	FiniteLivedIntangibleAssetsAmortizationinPeriodTrancheTwoPercent	0001065280-19-000043	20181231	4	pure	0x663660a4df909e4fee1934025bef9fa6	0	0.8200		0	1		0.01095891	0.0	2
0001065280-19-000043	LineofCreditFacilityAdditionalMaximumBorrowingCapacity	0001065280-19-000043	20170731	0	USD	0xe6276a95b4d904de3a139051e445ab1c	0	250000000.0000		0	1		0.0	0.0	32767
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20161231	4	membership	0x9b2e4847a783f42616c1138d6385c869	0	-758000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20161231	4	membership	0xf65a2df63990e798dd6a16d5918d756a	0	4504000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20161231	4	membership	0x5131082f461ff6e9ce08f9e48d461fd5	0	13747000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20171231	4	membership	0x9b2e4847a783f42616c1138d6385c869	0	-699000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20171231	4	membership	0xf65a2df63990e798dd6a16d5918d756a	0	4905000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20171231	4	membership	0x5131082f461ff6e9ce08f9e48d461fd5	0	16649000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20181231	4	membership	0x9b2e4847a783f42616c1138d6385c869	0	-624000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20181231	4	membership	0xf65a2df63990e798dd6a16d5918d756a	0	5676000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	NumberOfPaidMembershipAdditionsDuringPeriod	0001065280-19-000043	20181231	4	membership	0x5131082f461ff6e9ce08f9e48d461fd5	0	22939000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	TaxCutsAndJobsActIncomeTaxExpenseBenefit	0001065280-19-000043	20181231	4	USD	0x00000000	0	34000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	TaxCutsAndJobsActOf2017IncompleteAccountingTransitionTaxForAccumulatedForeignEarningsProvisionalIncomeTaxExpenseBenefit	0001065280-19-000043	20171231	1	USD	0x00000000	0	32000000.0000		0	0		0.0027400255	0.0	-6
0001065280-19-000043	AdvertisingExpense	us-gaap/2018	20161231	4	USD	0x00000000	0	842000000.0000		0	0		0.0	0.0	-6
0001065280-19-000043	AdvertisingExpense	us-gaap/2018	20171231	4	USD	0x00000000	0	1091000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	AdvertisingExpense	us-gaap/2018	20181231	4	USD	0x00000000	0	1808000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	AssetsCurrent	us-gaap/2018	20171231	0	USD	0x00000000	0	7669974000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	AssetsCurrent	us-gaap/2018	20181231	0	USD	0x00000000	0	9694135000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	CapitalLeaseObligations	us-gaap/2018	20181231	0	USD	0x1cefd0c247c3f1cefd3b70581e60a33f	0	28000000.0000		0	2		0.0	0.0	-6
0001065280-19-000043	CommitmentsAndContingencies	us-gaap/2018	20171231	0	USD	0x00000000	0			0	0		0.0	0.0	-32768
0001065280-19-000043	CommitmentsAndContingencies	us-gaap/2018	20181231	0	USD	0x00000000	0			0	0		0.0	0.0	-32768
0001065280-19-000043	CommonStockCapitalSharesReservedForFutureIssuance	us-gaap/2018	20181231	0	shares	0xd5c2161911acdf7afd0ff52294d54f7e	0	8700000.0000		0	2		0.0	0.0	-5
0001065280-19-000043	CurrentIncomeTaxExpenseBenefit	us-gaap/2018	20161231	4	USD	0x00000000	0	120676000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	CurrentIncomeTaxExpenseBenefit	us-gaap/2018	20171231	4	USD	0x00000000	0	135080000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	CurrentIncomeTaxExpenseBenefit	us-gaap/2018	20181231	4	USD	0x00000000	0	100736000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	DeferredFinanceCostsNet	us-gaap/2018	20181231	0	USD	0x00000000	0	89000000.0000		0	0		0.0	0.0	-6
0001065280-19-000043	DeferredStateAndLocalIncomeTaxExpenseBenefit	us-gaap/2018	20161231	4	USD	0x00000000	0	-14080000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	DeferredStateAndLocalIncomeTaxExpenseBenefit	us-gaap/2018	20171231	4	USD	0x00000000	0	-52695000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	DeferredStateAndLocalIncomeTaxExpenseBenefit	us-gaap/2018	20181231	4	USD	0x00000000	0	-52391000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost	us-gaap/2018	20171231	0	USD	0x00000000	0	149367000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost	us-gaap/2018	20181231	0	USD	0x00000000	0	190451000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20161231	4	USD	0x00000000	0	0.4400		0	0		0.0	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20170331	1	USD	0x00000000	0	0.4100		0	0		0.024658024	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20170630	1	USD	0x00000000	0	0.1500		0	0		0.013698995	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20170930	1	USD	0x00000000	0	0.3000		0	0		0.0027400255	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20171231	1	USD	0x00000000	0	0.4300		0	0		0.0027400255	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20171231	4	USD	0x00000000	0	1.2900		0	0		0.01095891	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20180331	1	USD	0x00000000	0	0.6700		0	0		0.024658024	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20180630	1	USD	0x00000000	0	0.8800		0	0		0.013698995	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20180930	1	USD	0x00000000	0	0.9200		0	0		0.0027400255	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20181231	1	USD	0x00000000	0	0.3100		0	0		0.0027400255	0.0	2
0001065280-19-000043	EarningsPerShareBasic	us-gaap/2018	20181231	4	USD	0x00000000	0	2.7800		0	0		0.01095891	0.0	2
0001065280-19-000043	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	us-gaap/2018	20171231	4	pure	0x00000000	0	0.3500		0	0		0.01095891	0.0	32767
0001065280-19-000043	EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate	us-gaap/2018	20181231	4	pure	0x00000000	0	0.2100		0	0		0.01095891	0.0	32767
0001065280-19-000043	ExcessTaxBenefitFromShareBasedCompensationOperatingActivities	us-gaap/2018	20161231	4	USD	0x00000000	0	65121000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ExcessTaxBenefitFromShareBasedCompensationOperatingActivities	us-gaap/2018	20171231	4	USD	0x00000000	0	0.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	ExcessTaxBenefitFromShareBasedCompensationOperatingActivities	us-gaap/2018	20181231	4	USD	0x00000000	0	0.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	FiniteLivedIntangibleAssetsNet	us-gaap/2018	20171231	0	USD	0x2534a4df7e3d1b5044abd9a98a12c17a	0	11771778000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	FiniteLivedIntangibleAssetsNet	us-gaap/2018	20171231	0	USD	0x663660a4df909e4fee1934025bef9fa6	0	1427256000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	FiniteLivedIntangibleAssetsNet	us-gaap/2018	20181231	0	USD	0x2534a4df7e3d1b5044abd9a98a12c17a	0	14081463000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	FiniteLivedIntangibleAssetsNet	us-gaap/2018	20181231	0	USD	0x663660a4df909e4fee1934025bef9fa6	0	2403896000.0000		0	1		0.0	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate	us-gaap/2018	20161231	4	USD	0x00000000	0	91179000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate	us-gaap/2018	20171231	4	USD	0x00000000	0	169860000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate	us-gaap/2018	20181231	4	USD	0x00000000	0	257556000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost	us-gaap/2018	20161231	4	USD	0x00000000	0	0.0000		0	0		0.0	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost	us-gaap/2018	20171231	4	USD	0x00000000	0	-157888000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost	us-gaap/2018	20181231	4	USD	0x00000000	0	-191323000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncreaseDecreaseInAccruedLiabilities	us-gaap/2018	20161231	4	USD	0x00000000	0	68706000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	IncreaseDecreaseInAccruedLiabilities	us-gaap/2018	20171231	4	USD	0x00000000	0	114337000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncreaseDecreaseInAccruedLiabilities	us-gaap/2018	20181231	4	USD	0x00000000	0	150422000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncrementalCommonSharesAttributableToShareBasedPaymentArrangements	us-gaap/2018	20161231	4	shares	0x00000000	0	9830000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	IncrementalCommonSharesAttributableToShareBasedPaymentArrangements	us-gaap/2018	20171231	4	shares	0x00000000	0	14929000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	IncrementalCommonSharesAttributableToShareBasedPaymentArrangements	us-gaap/2018	20181231	4	shares	0x00000000	0	15870000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	LineOfCreditFacilityMaximumBorrowingCapacity	us-gaap/2018	20170731	0	USD	0xe6276a95b4d904de3a139051e445ab1c	0	500000000.0000		0	1		0.0	0.0	32767
0001065280-19-000043	LongTermDebtMaturingInYearsFourAndFive	us-gaap/2018	20171231	0	USD	0x00000000	0	1761465000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	LongTermDebtMaturingInYearsFourAndFive	us-gaap/2018	20181231	0	USD	0x00000000	0	1646101000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	NetCashProvidedByUsedInOperatingActivities	us-gaap/2018	20161231	4	USD	0x00000000	0	-1473984000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	NetCashProvidedByUsedInOperatingActivities	us-gaap/2018	20171231	4	USD	0x00000000	0	-1785948000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	NetCashProvidedByUsedInOperatingActivities	us-gaap/2018	20181231	4	USD	0x00000000	0	-2680479000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	NumberOfCountriesInWhichEntityOperates	us-gaap/2018	20181231	0	country	0x00000000	0	190.0000		0	0		0.0	0.0	-1
0001065280-19-000043	NumberOfReportableSegments	us-gaap/2018	20181231	4	segment	0x00000000	0	3.0000		0	0		0.01095891	0.0	32767
0001065280-19-000043	OperatingLeaseRightOfUseAsset	us-gaap/2018	20190331	0	USD	0x667e183d8232e2b78495663dc5174257	0	700000000.0000		0	1		0.0	0.0	-6
0001065280-19-000043	OperatingLeasesFutureMinimumPaymentsDue	us-gaap/2018	20181231	0	USD	0x3a5c5acf43079b0f2084b25b3aa585f7	0	1157000000.0000		0	2		0.0	0.0	-6
0001065280-19-000043	OperatingLeasesRentExpenseNet	us-gaap/2018	20161231	4	USD	0x00000000	0	53000000.0000		0	0		0.0	0.0	-6
0001065280-19-000043	OperatingLeasesRentExpenseNet	us-gaap/2018	20171231	4	USD	0x00000000	0	75000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	OperatingLeasesRentExpenseNet	us-gaap/2018	20181231	4	USD	0x00000000	0	107000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20171231	4	USD	0x00000000	0	28008000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20171231	4	USD	0x444052a471a5570b5440343ac5b604b2	0	599000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20171231	4	USD	0xdd10770de2537b8b0dae431b0e6bb889	0	27409000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20181231	4	USD	0x00000000	0	975000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20181231	4	USD	0x444052a471a5570b5440343ac5b604b2	0	0.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	OtherComprehensiveIncomeLossNetOfTax	us-gaap/2018	20181231	4	USD	0xdd10770de2537b8b0dae431b0e6bb889	0	975000.0000		0	1		0.01095891	0.0	-3
0001065280-19-000043	OtherCostAndExpenseOperating	us-gaap/2018	20161231	4	USD	0x00000000	0	1095895000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	OtherCostAndExpenseOperating	us-gaap/2018	20171231	4	USD	0x00000000	0	1384753000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	OtherCostAndExpenseOperating	us-gaap/2018	20181231	4	USD	0x00000000	0	1852108000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	OtherLiabilitiesNoncurrent	us-gaap/2018	20171231	0	USD	0x00000000	0	135246000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	OtherLiabilitiesNoncurrent	us-gaap/2018	20181231	0	USD	0x00000000	0	129231000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PaymentsOfDebtIssuanceCosts	us-gaap/2018	20161231	4	USD	0x00000000	0	10700000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PaymentsOfDebtIssuanceCosts	us-gaap/2018	20171231	4	USD	0x00000000	0	32153000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	PaymentsOfDebtIssuanceCosts	us-gaap/2018	20181231	4	USD	0x00000000	0	35871000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	PaymentsToAcquireAvailableForSaleSecuritiesDebt	us-gaap/2018	20161231	4	USD	0x00000000	0	187193000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PaymentsToAcquireAvailableForSaleSecuritiesDebt	us-gaap/2018	20171231	4	USD	0x00000000	0	74819000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	PaymentsToAcquireAvailableForSaleSecuritiesDebt	us-gaap/2018	20181231	4	USD	0x00000000	0	0.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	PreferredStockSharesIssued	us-gaap/2018	20171231	0	shares	0x00000000	0	0.0000		0	0		0.0	0.0	32767
0001065280-19-000043	PreferredStockSharesIssued	us-gaap/2018	20181231	0	shares	0x00000000	0	0.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ProceedsFromSaleOfAvailableForSaleSecuritiesDebt	us-gaap/2018	20161231	4	USD	0x00000000	0	282484000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ProceedsFromSaleOfAvailableForSaleSecuritiesDebt	us-gaap/2018	20171231	4	USD	0x00000000	0	320154000.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	ProceedsFromSaleOfAvailableForSaleSecuritiesDebt	us-gaap/2018	20181231	4	USD	0x00000000	0	0.0000		0	0		0.01095891	0.0	-3
0001065280-19-000043	PurchaseObligation	us-gaap/2018	20171231	0	USD	0x00000000	1	17700000000.0000		0	0		0.0	0.0	-8
0001065280-19-000043	PurchaseObligation	us-gaap/2018	20171231	0	USD	0x00000000	0	17694642000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PurchaseObligation	us-gaap/2018	20181231	0	USD	0x00000000	0	19285875000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PurchaseObligationDueInFourthAndFifthYear	us-gaap/2018	20171231	0	USD	0x00000000	0	1894001000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	PurchaseObligationDueInFourthAndFifthYear	us-gaap/2018	20181231	0	USD	0x00000000	0	1684582000.0000		0	0		0.0	0.0	-3
0001065280-19-000043	ResearchAndDevelopmentExpense	us-gaap/2018	20161231	4	USD	0x00000000	0	768000000.0000		0	0		0.0	0.0	-6
0001065280-19-000043	ResearchAndDevelopmentExpense	us-gaap/2018	20171231	4	USD	0x00000000	0	981000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	ResearchAndDevelopmentExpense	us-gaap/2018	20181231	4	USD	0x00000000	0	1210000000.0000		0	0		0.01095891	0.0	-6
0001065280-19-000043	RestrictedCashEquivalents	us-gaap/2018	20171231	0	USD	0x4d9b41002a8fe71b7a630f59db268850	0	1276000.0000		0	3		0.0	0.0	-3
0001065280-19-000043	RestrictedCashEquivalents	us-gaap/2018	20171231	0	USD	0xbe3b365bab59ae6c3558f4c2ee1144bc	0	0.0000		0	3		0.0	0.0	-3
0001065280-19-000043	RestrictedCashEquivalents	us-gaap/2018	20181231	0	USD	0x4d9b41002a8fe71b7a630f59db268850	0	1298000.0000		0	3		0.0	0.0	-3
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate	us-gaap/2018	20161231	4	pure	0x00000000	0	0.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate	us-gaap/2018	20171231	4	pure	0x00000000	0	0.0000		0	0		0.01095891	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate	us-gaap/2018	20181231	4	pure	0x00000000	0	0.0000		0	0		0.01095891	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum	us-gaap/2018	20161231	4	pure	0x00000000	0	0.0157		0	0		0.0	0.0	4
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum	us-gaap/2018	20171231	4	pure	0x00000000	0	0.0224		0	0		0.01095891	0.0	4
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum	us-gaap/2018	20181231	4	pure	0x00000000	0	0.0261		0	0		0.01095891	0.0	4
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant	us-gaap/2018	20151231	0	shares	0x00000000	0	16845316.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant	us-gaap/2018	20161231	0	shares	0x00000000	0	13289953.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant	us-gaap/2018	20171231	0	shares	0x00000000	0	10739915.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant	us-gaap/2018	20181231	0	shares	0x00000000	0	8699941.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod	us-gaap/2018	20171231	4	shares	0x00000000	0	1561.0000		0	0		0.01095891	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod	us-gaap/2018	20181231	4	shares	0x00000000	0	2135.0000		0	0		0.01095891	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber	us-gaap/2018	20151231	0	shares	0x00000000	0	20995756.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber	us-gaap/2018	20161231	0	shares	0x00000000	0	22437347.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber	us-gaap/2018	20171231	0	shares	0x00000000	0	21647350.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber	us-gaap/2018	20181231	0	shares	0x00000000	0	20479278.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber	us-gaap/2018	20181231	0	shares	0x00000000	0	20479278.0000		0	0		0.0	0.0	32767
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice	us-gaap/2018	20161231	4	USD	0x00000000	0	17.4800		0	0		0.0	0.0	2
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice	us-gaap/2018	20171231	4	USD	0x00000000	0	26.7900		0	0		0.01095891	0.0	2
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice	us-gaap/2018	20181231	4	USD	0x00000000	0	38.6600		0	0		0.01095891	0.0	2
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice	us-gaap/2018	20161231	4	USD	0x00000000	0	102.0300		0	0		0.0	0.0	2
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice	us-gaap/2018	20171231	4	USD	0x00000000	0	159.5600		0	0		0.01095891	0.0	2
0001065280-19-000043	ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice	us-gaap/2018	20181231	4	USD	0x00000000	0	311.6600		0	0		0.01095891	0.0	2
