adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000004904-19-000009	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:28:00.0	0	1	aep-20181231.xml	8	81027 73986 92487 1702494 50172 6879 1721781	34157277184.00	20181231		
0000004962-19-000018	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	1	1231	10-K	20181231	2018	FY	20190213	2019-02-13 17:22:00.0	0	1	axp-20181231.xml	1		84299997184.00	20180630		
0000004969-19-000006	4969	AMERICAN EXPRESS CREDIT CORP	6153	US	NY	NEW YORK	10285	200 VESEY STREET		2126402000	US	NY	NEW YORK	10285	200 VESEY STREET		US	DE	111988350			4-NON	1	1231	10-K	20181231	2018	FY	20190301	2019-03-01 12:59:00.0	0	1	aexc-20181231.xml	1		0.00	20180630		
0000004977-19-000049	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-25 17:04:00.0	0	1	afl12311810k_htm.xml	1		33002565632.00	20180630		
0000005272-19-000023	5272	AMERICAN INTERNATIONAL GROUP INC	6331	US	NY	NEW YORK	10038	175 WATER STREET		2127707000	US	NY	NEW YORK	10038	175 WATER STREET		US	DE	132592361	AMERICAN INTERNATIONAL ENTERPRISES INC	19700507	1-LAF	1	1231	10-K	20181231	2018	FY	20190215	2019-02-15 13:23:00.0	0	1	aig-20181231.xml	1		47252000768.00	20180630		
0000005513-19-000004	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 16:37:00.0	0	1	unm-20181231.xml	1		8099999744.00	20180630		
0000006201-19-000009	6201	AMERICAN AIRLINES GROUP INC.	4512	US	TX	FORT WORTH	76155	4333 AMON CARTER BLVD		8179631234	US	TX	FORT WORTH	75261-9616	4333 AMON CARTER BLVD		US	DE	751825172	AMR CORP	19920703	1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-25 07:32:00.0	0	1	aal-20181231.xml	2	4515	16999999488.00	20180630		
0000006281-19-000013	6281	ANALOG DEVICES INC	3674	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		7813294700	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		US	MA	042348234			1-LAF	0	1031	10-Q	20190131	2019	Q1	20190220	2019-02-20 08:15:00.0	0	1	adi-20190202.xml	1					
0000006845-19-000005	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0228	10-Q	20181130	2019	Q3	20190110	2019-01-10 12:59:00.0	0	1	apog-20181201.xml	1					
0000006951-19-000008	6951	APPLIED MATERIALS INC /DE	3674	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		4085635300	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		US	DC	941655526	APPLIED MATERIALS TECHNOLOGY INC	19730319	1-LAF	0	1031	10-Q	20190131	2019	Q1	20190221	2019-02-21 16:34:00.0	0	1	amat-20190127.xml	1					
0000006955-19-000005	6955	ACTUANT CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	262-293-1697	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	APPLIED POWER INC	19920703	1-LAF	0	0831	10-Q	20181130	2019	Q1	20190104	2019-01-04 17:11:00.0	0	1	atu-20181130.xml	1					
0000007039-19-000030	7039	TRECORA RESOURCES	2911	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		281-980-5522	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		US	DE	751256622	ARABIAN AMERICAN DEVELOPMENT CO	20000811	2-ACC	0	1231	10-K	20181231	2018	FY	20190315	2019-03-15 17:01:00.0	0	1	trec-20181231.xml	1		254000000.00	20180630		
0000007084-19-000012	7084	ARCHER DANIELS MIDLAND CO	2070	US	IL	CHICAGO	60601	77 W. WACKER DR.		312-634-8233	US	IL	CHICAGO	60601	77 W. WACKER DR.		US	DE	410129150			1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 16:46:00.0	0	1	adm-20181231.xml	1		25500000256.00	20180630		
0000007332-19-000010	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	SPRING	77389	10000 ENERGY DRIVE		832-796-4700	US	TX	SPRING	77389	10000 ENERGY DRIVE		US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:22:00.0	0	1	swn-20181231.xml	1		3096452608.00	20180630		
0000007789-19-000014	7789	ASSOCIATED BANC-CORP	6022	US	WI	GREEN BAY	54301	433 MAIN STREET		920-491-7500	US	WI	GREEN BAY	54301	433 MAIN STREET		US	WI	391098068	ASSOCIATED BANK SERVICES INC	19770626	1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 17:30:00.0	0	1	asb12312018form10-k_htm.xml	1		4630393856.00	20180630		
0000008063-19-000009	8063	ASTRONICS CORP	3728	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	716-805-1599	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	US	NY	160959303	ASTRONICS LUMINESCENT INC	19711209	1-LAF	0	1231	10-K	20181231	2018	FY	20190301	2019-02-28 17:59:00.0	0	1	atro-20181231_htm.xml	1		847000000.00	20180630		
0000008670-19-000005	8670	AUTOMATIC DATA PROCESSING INC	7374	US	NJ	ROSELAND	07068	ONE ADP BOULVARD		9739745000	US	NJ	ROSELAND	07068	ONE ADP BOULEVARD		US	DE	221467904			1-LAF	0	0630	10-Q	20181231	2019	Q2	20190131	2019-01-31 14:32:00.0	0	1	adp-20181231.xml	1					
0000008858-19-000010	8858	AVNET INC	5065	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		4806432000	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		US	NY	111890605			1-LAF	0	0630	10-Q	20181231	2019	Q2	20190125	2019-01-25 16:11:00.0	0	1	avt-20181229.xml	1					
0000008868-19-000016	8868	AVON PRODUCTS INC	2844	US	NY	SUFFERN	10901	1 AVON PLACE		8453692000	US	NY	SUFFERN	10901	1 AVON PLACE		US	NY	130544597			1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 15:15:00.0	0	1	avp-20181231.xml	1		700000000.00	20180630		
0000008947-19-000011	8947	AZZ INC	3640	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	1-LAF	0	0228	10-Q	20181130	2019	Q3	20190108	2019-01-08 06:40:00.0	0	1	azz-20181130.xml	1					
0000009346-19-000012	9346	PROTECTIVE INSURANCE CORP	6331	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	317-452-7426	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	US	IN	350160330	BALDWIN & LYONS INC	19930908	2-ACC	0	1231	10-K	20181231	2018	FY	20190307	2019-03-07 16:51:00.0	0	1	ptvc-20181231.xml	1		265014000.00	20180629		
0000009984-19-000036	9984	BARNES GROUP INC	3490	US	CT	BRISTOL	06010	123 MAIN ST		8605837070	US	CT	BRISTOL	06010	123 MAIN ST		US	DE	060247840	ASSOCIATED SPRING CORP	19760518	1-LAF	1	1231	10-K	20181231	2018	FY	20190226	2019-02-25 17:41:00.0	0	1	b-20181231.xml	1		2798420480.00	20180629		
0000010048-19-000007	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	US	DE	720496921	BMA CORP/TN	19770324	5-SML	0	0930	10-Q	20181231	2019	Q1	20190213	2019-02-13 15:09:00.0	0	1	brn-20181231.xml	1					
0000010254-19-000038	10254	EARTHSTONE ENERGY INC	1311	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	281-298-4246	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	US	DE	840592823	BASIC EARTH SCIENCE SYSTEMS INC	19920703	2-ACC	0	1231	10-K	20181231	2018	FY	20190312	2019-03-12 16:08:00.0	0	1	este-20181231.xml	1		188132736.00	20180630		
0000010795-19-000009	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	0	0930	10-Q	20181231	2019	Q1	20190205	2019-02-05 13:43:00.0	0	1	bdx-20181231.xml	1					
0000011199-19-000006	11199	BEMIS CO INC	2670	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		(920) 727-4100	US	WI	NEENAH	54956	2301 INDUSTRIAL DRIVE		US	MO	430178130			1-LAF	1	1231	10-K	20181231	2018	FY	20190215	2019-02-15 16:55:00.0	0	1	bms-20181231.xml	1		3841516288.00	20180629		
0000011544-19-000016	11544	BERKLEY W R CORP	6331	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	2036293000	US	CT	GREENWICH	06830	475 STEAMBOAT ROAD	.	US	DE	221867895			1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 16:14:00.0	0	1	wrb1231201810-k_htm.xml	1		7014828544.00	20180630		
0000012400-19-000003	12400	BLACK HILLS POWER INC	4911	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	6057212343	US	SD	RAPID CITY	57709	7001 MT RUSHMORE RD	PO BOX 1400	US	SD	460111677	BLACK HILLS CORP	19920703	4-NON	1	1231	10-K	20181231	2018	FY	20190221	2019-02-20 18:35:00.0	0	1	bkh-20181231.xml	1		0.00	20180630		
0000012927-19-000010	12927	BOEING CO	3721	US	WA	SEATTLE	98124	P O BOX 3707 MS 1F 31		312-544-2000	US	IL	CHICAGO	60606-1596	100 N RIVERSIDE PLZ		US	DE	910425694	BOEING AIRPLANE CO	19730725	1-LAF	1	1231	10-K	20181231	2018	FY	20190208	2019-02-08 13:11:00.0	0	1	a201812dec3110k_htm.xml	1		193199996928.00	20180630		
0000014195-19-000008	14195	BRIGGS & STRATTON CORP	3510	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		4142595333	US	WI	WAUWATOSA	53222	12301 W WIRTH ST		US	WI	390182330			1-LAF	0	0630	10-Q	20181231	2019	Q2	20190205	2019-02-05 16:04:00.0	0	1	bgg-20181230.xml	1					
0000014272-19-000047	14272	BRISTOL MYERS SQUIBB CO	2834	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	2125464000	US	NY	NEW YORK	10016	430 E. 29TH STREET	14 FLOOR	US	DE	220790350	BRISTOL MYERS CO	19891012	1-LAF	1	1231	10-K	20181231	2018	FY	20190225	2019-02-25 16:52:00.0	0	1	bmy-20181231.xml	1		90226040832.00	20180630		
0000014693-19-000014	14693	BROWN FORMAN CORP	2080	US	KY	LOUISVILLE	40210	850 DIXIE HWY		5025851100	US	KY	LOUISVILLE	40201	P O BOX 1080		US	DE	610143150	BROWN FORMAN INC	19870816	1-LAF	0	0430	10-Q	20190131	2019	Q3	20190306	2019-03-06 17:02:00.0	0	1	bfb-20190131.xml	1					
0000014846-19-000007	14846	BRT APARTMENTS CORP.	6798	US	NY	GREAT NECK	11021-3190	60 CUTTER MILL RD	SUITE 303	5164663100	US	NY	GREAT NECK	11021	60 CUTTER MILL ROAD	SUITE 303	US	NY	132755856	BRT REALTY TRUST	20170206	2-ACC	0	0930	10-QT	20181231	2019	Q1	20190208	2019-02-08 11:38:00.0	0	1	brt-20181231_htm.xml	1					
0000014930-19-000054	14930	BRUNSWICK CORP	3510	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		8477354700	US	IL	METTAWA	60045-3420	26125 N. RIVERWOODS BLVD. SUITE 500		US	DE	360848180	BRUNSWICK BALKE COLLENDER CO	19660919	1-LAF	1	1231	10-K	20181231	2018	FY	20190219	2019-02-19 17:00:00.0	0	1	bcorp-20181231.xml	1		5551034368.00	20180629		
0000015615-19-000011	15615	MASTEC INC	1623	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	3055991800	US	FL	CORAL GABLES	33134	800 S. DOUGLAS ROAD	12TH FLOOR	US	FL	650829355	BURNUP & SIMS INC	19920703	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 17:29:00.0	0	1	mtz-20181231.xml	1		3200000000.00	20180629		
0000016099-19-000015	16099	LUBYS INC	5812	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	(713) 329 6800	US	TX	HOUSTON	77040	13111 NORTHWEST FREEWAY	SUITE 600	US	DE	741335253	LUBYS CAFETERIAS INC	19920703	2-ACC	0	0831	10-Q	20181231	2019	Q1	20190128	2019-01-28 15:35:00.0	0	1	lub-20181219.xml	1					
0000016160-19-000006	16160	CAL-MAINE FOODS INC	0200	US	MS	JACKSON	39209	3320 WOODROW WILSON DRIVE		6019486813	US	MS	JACKSON	39209	3320 WOODROW WILSON DR		US	DE	640500378	CAL MAINE FOODS INC	19961018	1-LAF	0	0531	10-Q	20181130	2019	Q2	20190104	2019-01-04 08:29:00.0	0	1	calm-2018x12x01x10q_htm.xml	1					
0000016732-19-000024	16732	CAMPBELL SOUP CO	2000	US	NJ	CAMDEN	08103	CAMPBELL PL		8563424800	US	NJ	CAMDEN	08103	CAMPBELL PL		US	NJ	210419870			1-LAF	0	0731	10-Q	20190131	2019	Q2	20190306	2019-03-06 16:28:00.0	0	1	cpb-20190127.xml	1					
0000016868-19-000011	16868	CANADIAN NATIONAL RAILWAY CO	4011	CA	QC	CANADA	H3B 2M9	935 DE LA GAUCHETIERE ST W	MONTREAL QUEBEC	5143996569	CA	QC	CANADA H3B 2M9	00000	935 DE LA GAUCHETIERE ST WEST	MONTREAL QUEBEC	CA	QC	980018609				0	1231	6-K	20181231	2018	FY	20190201	2019-02-01 16:14:00.0	0	1	cni-20181231.xml	1		59881529344.00	20180630		
0000016875-19-000017	16875	CANADIAN PACIFIC RAILWAY LTD/CN	4011	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.		403-319-3591	CA	AB	CALGARY ALBERTA	T2C 4X9	7550 OGDEN DALE ROAD S.E.				980355078	CANADIAN PACIFIC LTD	19930507	1-LAF	1	1231	10-K	20181231	2018	FY	20190215	2019-02-15 15:05:00.0	0	1	cpr2018-annualreportx1_htm.xml	1		26091991040.00	20180630		
0000016918-19-000007	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	585-678-7100	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0228	10-Q	20181130	2019	Q3	20190109	2019-01-09 14:15:00.0	0	1	stz-20181130.xml	1					
0000017843-19-000005	17843	CARPENTER TECHNOLOGY CORP	3312	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	6102082000	US	PA	PHILADELPHIA	19103	BNY MELLON BUILDING	1735 MARKET STREET, 15TH FL	US	DE	230458500			1-LAF	0	0630	10-Q	20181231	2019	Q2	20190131	2019-01-31 17:17:00.0	0	1	crs-20181231.xml	1					
0000018172-19-000005	18172	CASTLE A M & CO	5051	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	8474557111	US	IL	OAK BROOK	60523	1420 KENSINGTON ROAD	SUITE 220	US	MD	360879160			4-NON	0	1231	10-K	20181231	2018	FY	20190315	2019-03-15 16:47:00.0	0	1	ctam-20181231.xml	1		10435221.00	20180630		
0000018230-19-000034	18230	CATERPILLAR INC	3531	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	2245514000	US	IL	DEERFIELD	60015	510 LAKE COOK ROAD	SUITE 100	US	DE	370602744	CATERPILLAR TRACTOR CO	19860623	1-LAF	1	1231	10-K	20181231	2018	FY	20190214	2019-02-14 13:25:00.0	0	1	cat-20181231.xml	1		81199996928.00	20180630		
0000018255-19-000010	18255	CATO CORP	5621	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		7045517352	US	NC	CHARLOTTE	28273-5975	8100 DENMARK ROAD		US	DE	560484485	CATO STORES INC	19701002	1-LAF	1	0131	10-K	20190131	2018	FY	20190327	2019-03-27 16:05:00.0	0	1	cato-20190202.xml	1		557163200.00	20190202		
0000018349-19-000021	18349	SYNOVUS FINANCIAL CORP	6021	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500	7066495292	US	GA	COLUMBUS	31901	1111 BAY AVENUE	STE 500	US	GA	581134883	CB&T BANCSHARES INC	19890912	1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:30:00.0	0	1	syn-20181231.xml	1		5797502976.00	20180630		
0000018926-19-000006	18926	CENTURYLINK, INC	4813	US	LA	MONROE	71203	P O BOX 4065	100 CENTURYLINK DR	3183889000	US	LA	MONROE	71203	100 CENTURYLINK DR	P O BOX 4065	US	LA	720651161	CENTURYTEL INC	19990602	1-LAF	1	1231	10-K	20181231	2018	FY	20190311	2019-03-11 06:24:00.0	0	1	ctl-20181231.xml	1		17699999744.00	20180630		
0000019446-19-000008	19446	CANTEL MEDICAL CORP	3841	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	973-890-7220	US	NJ	LITTLE FALLS	07424	OVERLOOK AT GREAT NOTCH	150 CLOVE ROAD	US	DE	221760285	CANTEL INDUSTRIES INC	19920703	1-LAF	0	0731	10-Q	20190131	2019	Q2	20190301	2019-03-01 11:13:00.0	0	1	cmd-20190131.xml	1					
0000019612-19-000053	19612	CHEMICAL FINANCIAL CORP	6022	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	800-867-9757	US	MI	DETROIT	48226	333 W. FORT STREET	SUITE 1800	US	MI	382022454			1-LAF	1	1231	10-K	20181231	2018	FY	20190228	2019-02-28 16:23:00.0	0	1	chfc-20181231.xml	1		3870000128.00	20180629		
0000019617-19-000054	19617	JPMORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	270 PARK AVE	38TH FL	2122706000	US	NY	NEW YORK	10017	270 PARK AVENUE		US	DE	132624428	J P MORGAN CHASE & CO	20010102	1-LAF	0	1231	10-K	20181231	2018	FY	20190226	2019-02-26 16:57:00.0	0	1	corp10k2018_htm.xml	1		347963162624.00	20180630		
0000020212-19-000012	20212	CHURCHILL DOWNS INC	7948	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	5026364400	US	KY	LOUISVILLE	40222	600 N. HURSTBOURNE PKWY	SUITE 400	US	KY	610156015	CHURCHILL DOWNS INC	19920703	1-LAF	1	1231	10-K	20181231	2018	FY	20190227	2019-02-27 16:45:00.0	0	1	chdn-20181231.xml	1		3470235648.00	20180630		
0000020286-19-000012	20286	CINCINNATI FINANCIAL CORP	6331	US	OH	FAIRFIELD	45014	6200 S GILMORE RD		5138702000	US	OH	CINCINNATI	45250	P.O. BOX 145496		US	OH	310746871			1-LAF	1	1231	10-K	20181231	2018	FY	20190222	2019-02-22 12:23:00.0	0	1	cinf-20181231.xml	1		10123220992.00	20180630		
0000020520-19-000005	20520	FRONTIER COMMUNICATIONS CORP	4813	US	CT	NORWALK	06851	401 MERRITT 7		2036145600	US	CT	NORWALK	06851	401 MERRITT 7		US	DE	060619596	CITIZENS COMMUNICATIONS CO	20000619	1-LAF	0	1231	10-K	20181231	2018	FY	20190301	2019-02-28 17:51:00.0	0	1	ftr-20181231.xml	1		559443008.00	20180630		
0000020629-19-000008	20629	CSS INDUSTRIES INC	2771	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	610-729-3959	US	PA	PLYMOUTH MEETING	19462	450 PLYMOUTH ROAD	SUITE 300	US	DE	131920657	CITY STORES CO	19851212	2-ACC	0	0331	10-Q	20181231	2019	Q3	20190207	2019-02-07 16:22:00.0	0	1	css-20181231.xml	1					
0000021076-19-000004	21076	CLOROX CO /DE/	2842	US	CA	OAKLAND	94612-1888	THE CLOROX COMPANY	1221 BROADWAY	5102717000	US	CA	OAKLAND	94612-1305	P.O. BOX 24305		US	DE	310595760			1-LAF	0	0630	10-Q	20181231	2019	Q2	20190204	2019-02-04 16:16:00.0	0	1	clx-20181231.xml	1					
0000021175-19-000022	21175	CNA FINANCIAL CORP	6331	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	3128225000	US	IL	CHICAGO	60606	CNA	151 N. FRANKLIN	US	DE	366169860			1-LAF	1	1231	10-K	20181231	2018	FY	20190213	2019-02-13 14:46:00.0	0	1	cna-20181231.xml	1		1295000064.00	20180629		
0000021344-19-000014	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:56:00.0	0	1	ko-20181231.xml	1		184986763264.00	20180629		
0000021510-19-000009	21510	COHERENT INC	3826	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DR		4087644000	US	CA	SANTA CLARA	95054	5100 PATRICK HENRY DRIVE	MAIL STOP P38	US	DE	941622541	COHERENT RADIATION	19770604	1-LAF	0	0930	10-Q	20181231	2019	Q1	20190206	2019-02-06 16:06:00.0	0	1	cohr-20181229.xml	1					
0000021665-19-000003	21665	COLGATE PALMOLIVE CO	2844	US	NY	NEW YORK	10022	300 PARK AVE		2123102000	US	NY	NEW YORK	10022	300 PARK AVE		US	DE	131815595			1-LAF	1	1231	10-K	20181231	2018	FY	20190221	2019-02-21 16:14:00.0	0	1	cl-20181231.xml	1		56000000000.00	20180630		
